編號,基金簡稱,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
101150,NN (L) 投資級公司債基金X股美元(月配息),"15,285","15,384","15,397","15,285","15,053","14,928","14,747","14,631","14,635","4,848",,
101150,NN (L) 新興市場債券基金X股美元(月配息),"15,239","15,341","15,371","15,344","15,083","15,982","14,714","14,628","14,631","9,737","9,725","9,722"
101150,NN (L) 環球高收益基金X股美元(月配息),"15,310","15,368","15,387","15,274","15,062","14,955","14,705","14,619","14,625","4,859",,
101150,安本標準 - 世界股票基金 A 累積 美元,"15,260","15,332","15,377","15,334","15,080","14,970","14,702","14,616","14,635","14,572","14,574","14,598"
101150,安本標準 - 亞洲小型公司基金 A 累積 美元,"15,259","15,331","15,377","15,334","15,080","14,971","14,701","14,618","14,635","15,540","15,548","14,598"
101150,安本標準 - 新興市場債券基金 A 月配息,"15,267","15,350","15,378","15,284","15,090","10,923","14,697","14,628","15,611","14,556","16,513","17,519"
101150,野村中小基金-累積類型,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","7,000","8,000","8,000","7,000"
101150,野村全球生技醫療基金,"9,000","9,000","9,000","9,000","6,000",,,,,,,
101150,野村亞太複合高收益債基金-月配型新臺幣計價,,, -   ,, -   ,, -   , -   ,, -   ,,
101150,野村亞太複合高收益債基金-累積型新臺幣計價,"9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","3,000",,
101150,野村泰國基金,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
101150,野村基金(愛爾蘭系列)-美國高收益債券基金(TD美元類股),"15,260","15,333","15,378","15,334","15,079","14,971","14,702","14,616","14,635","9,737","9,723","9,722"
101150,野村貨幣市場基金,,,,, -   , -   ,,,,,,
101150,野村新興傘型之大俄羅斯基金,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
101150,野村歐洲中小成長基金-累積類型新臺幣計價,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","8,000","8,000"
101150,野村環球基金-新臺幣計價,"9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","10,000"
101150,野村雙印傘型之印尼潛力基金,"3,000","3,000","3,000","3,000","3,000",,"3,000","3,000","3,000","3,000","3,000","3,000"
101150,駿利資產管理基金 - 駿利美國創業基金A美元累計,"15,239","15,340","15,375","15,344","15,082","14,994","14,715","14,633","14,633","14,595","15,561","16,539"
101150,駿利資產管理基金 - 駿利高收益基金A美元入息,,,,, -   ,,,,,,,
101150,駿利資產管理基金 - 駿利環球生命科技基金A美元累計,"15,237","15,359","15,368","15,353","15,066","14,993","14,725","14,640","14,637","14,575","14,555","14,595"
136408,野村多元收益平衡基金-月配類型人民幣計價,,,"337,130",,,,,,,,,
148302,野村中國機會基金,"4,000","4,000","4,000","4,000","4,000","4,000","54,000","8,000","12,000","16,000","16,000","16,000"
148302,野村新興傘型之大俄羅斯基金,,,,"116,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
148302,野村環球基金-新臺幣計價,,,"4,000","4,000","4,000","4,000", -   ,,,,,
178683,野村環球基金-新臺幣計價,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
181030,野村日本領先基金-累積類型,,,,,,,,,,,"6,000","6,000"
181030,野村四年階梯到期新興債-累積人民幣計價,"92,400",,,,,,,,,,,
181030,野村泰國基金,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
181030,野村新馬基金,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
216543,野村中國機會基金,"20,000",,,,,,,,,,,
225492,NN (L) 環球高收益基金X股美元(月配息),,,,,,, -   ,,,,,
225492,野村多元收益平衡基金-月配類型新臺幣計價,,,,,,,,,, -   ,,
225492,野村亞太複合高收益債基金-月配型新臺幣計價,,,,,,,,,, -   ,,
225492,鋒裕匯理基金 (II) - 美國高息AXD,,,,,,,, -   ,,,,
247951,野村新馬基金,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000"
254047,野村高科技基金,"20,000","71,000","20,000","20,000","20,000","20,000","20,000","56,000","20,000","40,000","20,000","20,000"
257959,野村新興收益傘型基金之中國境內新興債券基金-累積類型新臺幣計?,,,,,,,"200,000",,,,,
304709,野村新興高收益債組合基金-累積型,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000"
305254,野村 e科技基金,"4,000","4,000","4,000","4,000","4,000","3,000","3,000","4,000","4,000","5,000",,
305254,野村中國機會基金,"6,000","6,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000",,
305254,野村台灣高股息基金,,, -   ,,,,,,,,,
312291,野村 e科技基金,,"3,000","3,000","3,000","4,000","4,000","4,000","24,000","64,000","128,000","16,000","16,000"
312291,野村中小基金-累積類型,"6,000","9,000","6,000","6,000","3,000","3,000","3,000","3,000","6,000","45,000","6,000","6,000"
312291,野村中國機會基金,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","12,000","12,000","12,000","12,000","15,000"
312291,野村巴西證券投資信託基金,"9,000","9,000","9,000","9,000","28,000","84,000","21,000","42,000","21,000","18,000","18,000","18,000"
312291,野村泰國基金,"3,000","6,000","6,000","6,000","6,000","6,000","9,000","6,000","6,000","6,000","6,000","9,000"
312291,野村新興傘型之大俄羅斯基金,"6,000","6,000","6,000","24,000","12,000","16,000","15,000","15,000","15,000","15,000","15,000","15,000"
312291,野村新興傘型之中東非洲基金,,,,"9,000","9,000","12,000","6,000",,,,,
312291,野村歐洲中小成長基金-累積類型新臺幣計價,"6,000","9,000","6,000","6,000","9,000","9,000","9,000","12,000","9,000","15,000","18,000","21,000"
312291,野村環球基金-新臺幣計價,,,,,,"3,000","3,000","7,000","7,000","7,000","4,000","8,000"
312291,野村雙印傘型之印尼潛力基金,"6,000","6,000","9,000","9,000","24,000","16,000","18,000","18,000","21,000","21,000","18,000","18,000"
312291,野村雙印傘型之印度潛力基金,"6,000","6,000","6,000","6,000","6,000","6,000","3,000","3,000","3,000","9,000","6,000","6,000"
318090,野村多元收益平衡基金-月配類型新臺幣計價,"30,000","90,000","230,000","30,000","20,000","10,000","10,000",,,"10,000","10,000",
318258,野村台灣運籌基金,"6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000","6,000"
42308,野村中小基金-累積類型,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000"
42308,野村優質基金-累積類型新臺幣計價,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000"
5974,野村中小基金-累積類型,"6,000","12,000","6,000","6,000","6,000","6,000", -   ,,,,,
5974,野村中國機會基金,"5,000", -   ,"10,000","5,000","5,000","5,000","5,000","8,000","8,000","8,000","8,000","8,000"
5974,野村台灣運籌基金,"5,000","10,000","5,000","5,000","5,000","5,000", -   ,,,,,
5974,野村高科技基金,"5,000","10,000","5,000","5,000","5,000","5,000","5,000","25,000","35,000","50,000",,"3,000"
5974,野村環球高收益債基金-累積類型新臺幣計價,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","3,000"
5974,野村環球基金-新臺幣計價,,,,,,,,,"6,000","6,000","6,000","6,000"
5974,野村鴻運基金,,,,,,, -   ,,,,,
60001,野村中小基金-累積類型, -   ,,,,,,,,,,,
60001,野村中國機會基金, -   ,,,,"3,000","3,000", -   ,,,,,
60001,野村全球不動產證券化基金-累積型新臺幣計價,,,,, -   ,,,,,,,
60001,野村全球生技醫療基金,,,,,,, -   ,,,,,
60001,野村高科技基金,,,, -   , -   ,, -   ,,,,,
60001,野村優質基金-累積類型新臺幣計價,,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000"
60001,野村雙印傘型之印度潛力基金,"3,000","3,000",, -   ,,,,,,,,
98368,野村 e科技基金,,,,,,,"15,000","15,000","15,000","15,000","15,000","11,000"
98368,野村中小基金-累積類型,"15,000","215,000","115,000","215,000","15,000","70,000","75,000","260,000","15,000","215,000","15,000","15,000"
98368,野村中國機會基金,"15,000","15,000","15,000","15,000","15,000","15,000","11,000","9,000","9,000","9,000","9,000","9,000"
98368,野村台灣高股息基金,,, -   ,,,,,,,,,
98368,野村全球短期收益基金-新台幣計價,,, -   ,,,,,,,,,
98368,野村成長基金,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","11,000"
98368,野村新興收益傘型基金之中國境內新興債券基金-累積類型新臺幣計?,,,,,,,"200,000",,,,, -   
98368,野村優質基金-累積類型新臺幣計價,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
98368,野村雙印傘型之印度潛力基金,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"